SURVYEAR	FIPST	STABR	STATENAME	SEANAME	LEAID	ST_LEAID	LEA_NAME	SCHID	ST_SCHID	NCESSCH	SCH_NAME	MSTREET1	MSTREET2	MSTREET3	MCITY	MSTATE	MZIP	MZIP4	PHONE	LSTREET1	LSTREET2	LSTREET3	LCITY	LSTATE	LZIP	LZIP4	UNION	OUT_OF_STATE_FLAG	SCH_TYPE_TEXT	SCH_TYPE	RECON_STATUS	GSLO	GSHI	LEVEL	VIRTUAL	BIES	SY_STATUS_TEXT	SY_STATUS	UPDATED_STATUS_TEXT	UPDATED_STATUS	EFFECTIVE_DATE	CHARTER_TEXT	PKOFFERED	KGOFFERED	G1OFFERED	G2OFFERED	G3OFFERED	G4OFFERED	G5OFFERED	G6OFFERED	G7OFFERED	G8OFFERED	G9OFFERED	G10OFFERED	G11OFFERED	G12OFFERED	G13OFFERED	AEOFFERED	UGOFFERED	NOGRADES	CHARTAUTH1	CHARTAUTHN1	CHARTAUTH2	CHARTAUTHN2	IGOFFERED
2014-2015	06	CA	CALIFORNIA	California Department of Education	0616740	0161192	Hayward Unified	13584	0133520	061674013584	Hayward Adult	22100 Princeton St.			Hayward	CA	94540	0001	5102938595	22100 Princeton St.			Hayward	CA	94540	0001	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:36:07	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0616920	3367082	Hemet Unified	13336	3332616	061692013336	Hemet Adult Education	831 E. Devonshire Ave.			Hemet	CA	92543	3052	9517655190	831 E. Devonshire Ave.			Hemet	CA	92543	3052	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:56:03	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0617430	1363149	Holtville Unified	13563	1330042	061743013563	Holtville Adult	522 W. Eighth St.			Holtville	CA	92250		7603561304	522 W. Eighth St.			Holtville	CA	92250		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:41:20	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0618060	3066548	Huntington Beach Union High	13645	3030202	061806013645	Huntington Beach Adult	17231 Gothard St.			Huntington Beach	CA	92647	5421	7148424227	17231 Gothard St.			Huntington Beach	CA	92647	5421	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:53:41	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0618390	1964634	Inglewood Unified	13498	1934215	061839013498	Inglewood Career Technical Ed, Adult Ed, Alternative Ed	441 W. Hillcrest Blvd.			Inglewood	CA	90301		3103305222	441 W. Hillcrest Blvd.			Inglewood	CA	90301		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:44:26	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0618930	4168924	Jefferson Union High	13224	4133336	061893013224	Adult Education Division	699 Serramonte Blvd., Ste. 111			Daly City	CA	94015	3219	6505507890	699 Serramonte Blvd., Ste. 111			Daly City	CA	94015	3219	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:12:11:26	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0619110	3768171	Julian Union High	13309	0101584	061911013309	Julian Adult	PO Box 417			Julian	CA	92036		7607650606	1656 Highway 78			Julian	CA	92036		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:12:01:41	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0619260	3367090	Jurupa Unified	13518	3337664	061926013518	Adult Alternative Education	4041 Pacific Ave.			Jurupa Valley	CA	92509	7251	9512227739	4041 Pacific Ave.			Jurupa Valley	CA	92509	7251	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:56:07	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0619540	1563529	Kern High	13499	1530609	061954013499	Bakersfield Adult	501 S. Mt. Vernon Ave.			Bakersfield	CA	93307	2859	6618351855	501 S. Mt. Vernon Ave.			Bakersfield	CA	93307	2859	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:42:09	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0619700	1062265	Kings Canyon Joint Unified	13473	1030220	061970013473	Kings Canyon Adult	675 W. Manning Ave.			Reedley	CA	93654	2427	5593057085	740 W. N. Ave.			Reedley	CA	93654	2418	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:40:14	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0620070	1764022	Konocti Unified	13275	1730076	062007013275	Konocti Adult	PO Box 759			Lower Lake	CA	95457	0759	7079947142	9345 Winchester St.			Lower Lake	CA	95457	0759	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:42:49	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0620370	3066555	Laguna Beach Unified	13504	3030194	062037013504	Laguna Beach Adult	550 Blumont St.			Laguna Beach	CA	92651		9494977700	625 Park Ave.			Laguna Beach	CA	92651	2340	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:53:43	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0621000	1964683	Las Virgenes Unified	13380	1932433	062100013380	Las Virgenes Adult	4111 N. Las Virgenes Rd.			Calabasas	CA	91302	1929	9163190800	4111 N. Las Virgenes Rd.			Calabasas	CA	91302	1929	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:44:37	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0621060	1864139	Lassen Union High	13603	1830124	062106013603	Diploma Gold Adult	1000 Main St.			Susanville	CA	96130	4419	5302575134	1000 Main St.			Susanville	CA	96130	4419	000	N	Reportable Program	5	No	09	12	3	No	2	Open	1	Open	1	14JAN2015:11:42:57	No	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0621600	0761721	Liberty Union High	13308	0730150	062160013308	Liberty Adult Education	929 Second St.			Brentwood	CA	94513	1137	9256342565	929 Second St.			Brentwood	CA	94513	1137	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:38:21	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0621810	3968577	Linden Unified	13292	3930252	062181013292	Linden Adult	18257 E. Main St.			Linden	CA	95236		9163190800	18257 E. Main St.			Linden	CA	95236		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:12:10:16	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0621870	5471993	Lindsay Unified	13215	5430293	062187013215	Lindsay Adult	519 E. Honolulu St.			Lindsay	CA	93247		5595625913	519 E. Honolulu St.			Lindsay	CA	93247		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:12:16:53	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622110	0161200	Livermore Valley Joint Unified	13601	0138826	062211013601	Livermore Adult	1401 Almond Ave.			Livermore	CA	94550		9256064722	1401 Almond Ave.			Livermore	CA	94550		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:36:15	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622230	3968585	Lodi Unified	13612	3930187	062223013612	Lodi Adult	542 E. Pine St.			Lodi	CA	95240	3034	2093317607	542 E. Pine St.			Lodi	CA	95240	3034	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:12:10:20	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622410	4269229	Lompoc Unified	13225	4233003	062241013225	Lompoc Adult	PO Box 8000			Lompoc	CA	93438	8000	8057423100	320 N. J St.			Lompoc	CA	93436	8000	000	N	Reportable Program	5	No	12	12	3	No	2	Open	1	Open	1	14JAN2015:12:12:05	No	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622440	1463289	Lone Pine Unified	13445	1430081	062244013445	Lone Pine Adult	PO Box 159			Lone Pine	CA	93545		7608765579	301 S. Hay St.			Lone Pine	CA	93545	0159	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:41:37	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622500	1964725	Long Beach Unified	13369	1935188	062250013369	Long Beach School for Adults	3701 E. Willow St.			Long Beach	CA	90815		5625958893	3701 E. Willow St.			Long Beach	CA	90815		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:44:46	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13209	1930908	062271013209	Belmont Community Adult	1575 W. Second St.			Los Angeles	CA	90026	5701	2132418500	1575 W. Second St.			Los Angeles	CA	90026	5701	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:10	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13232	1938281	062271013232	South Gate Community Adult	2525 Firestone Blvd.			South Gate	CA	90280	2937	3235685700	2525 Firestone Blvd.			South Gate	CA	90280	2937	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:29	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13252	1931427	062271013252	E. Manfred Evans Community Adult	717 N. Figueroa St.			Los Angeles	CA	90012		2136267151	717 N. Figueroa St.			Los Angeles	CA	90012		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:12	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13253	1936335	062271013253	North Hollywood Poly Community Adult	12431 Roscoe Blvd.			Sun Valley	CA	91352	3723	8183943950	12431 Roscoe Blvd.			Sun Valley	CA	91352	3723	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:27	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13264	0110312	062271013264	Los Angeles Technology Center	3721 W. Washington Blvd.			Los Angeles	CA	90018		3237320153	3721 W. Washington Blvd.			Los Angeles	CA	90018		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:45:16	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13265	1931401	062271013265	Kennedy-San Fernando Community	11254 Gothic Ave.			Granada Hills	CA	91344	3709	8182712550	11254 Gothic Ave.			Granada Hills	CA	91344	3709	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:12	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13293	1934132	062271013293	Huntington Park/Bell Community Adult	2945 Belgrave Ave.			Huntington Park	CA	90255		3238262400	2945 Belgrave Ave.			Huntington Park	CA	90255		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:24	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13313	1933092	062271013313	John C. Fremont Community Adult	7676 S. San Pedro St.			Los Angeles	CA	90003	2348	3235651300	7676 S. San Pedro St.			Los Angeles	CA	90003	2348	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:22	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13315	1930858	062271013315	East Los Angeles Occupational	2100 Marengo St.			Los Angeles	CA	90033	1321	3232231283	2100 Marengo St.			Los Angeles	CA	90033	1321	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:09	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13344	1932490	062271013344	Maxine Waters Employment Prep Center	10925 Central Ave.			Los Angeles	CA	90059		3235641431	10925 Central Ave.			Los Angeles	CA	90059		000	N	Reportable Program	5	No	09	12	3	No	2	Open	1	Open	1	14JAN2015:11:46:19	No	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13362	1937812	062271013362	Harbor Community Adult	950 W. Santa Cruz St.			San Pedro	CA	90731	3925	3105474425	950 W. Santa Cruz St.			San Pedro	CA	90731	3925	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:28	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13363	1932466	062271013363	Pacoima Skills Center	13545 Van Nuys Blvd			Pacoima	CA	91331	3000	8188969558	13545 Van Nuys Blvd			Pacoima	CA	91331	3000	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:19	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13372	1937200	062271013372	Reseda Community Adult	18230 Kittridge St.			Reseda	CA	91335	6121	8187583700	18230 Kittridge St.			Reseda	CA	91335	6121	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:27	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13382	1930957	062271013382	El Camino Real Community Adult	21213 Vanowen St			Canoga Park	CA	91303		8186105600	21213 Vanowen St			Canoga Park	CA	91303		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:10	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13398	1932474	062271013398	West Valley Occupational Center	6200 Winnetka Ave.			Woodland Hills	CA	91367		8183463540	6200 Winnetka Ave.			Woodland Hills	CA	91367		000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:19	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13421	1995638	062271013421	Venice Skills Center	611 Fifth Ave.			Venice	CA	90291	2674	3106645820	611 Fifth Ave.			Venice	CA	90291	2674	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:32	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13424	1933365	062271013424	James A. Garfield Community	4343 New York St.			Los Angeles	CA	90022	3209	3232629115	4343 New York St.			Los Angeles	CA	90022	3209	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:23	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13432	1934017	062271013432	Hollywood Community Adult	1521 N. Highland Ave.			Los Angeles	CA	90028	7001	3239931800	1521 N. Highland Ave.			Los Angeles	CA	90028	7001	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:24	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13462	1937408	062271013462	Roosevelt Community Adult	456 S. Matthews St.			Los Angeles	CA	90033	4326	3237806650	456 S. Matthews St.			Los Angeles	CA	90033	4326	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:28	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13467	1932458	062271013467	East Los Angeles Skills Center	3921 Selig Pl.			Los Angeles	CA	90031	3901	3232245970	3921 Selig Pl.			Los Angeles	CA	90031	3901	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:19	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13484	1939024	062271013484	Venice Community Adult	13000 Venice Blvd.			Los Angeles	CA	90066	3512	3105774230	13000 Venice Blvd.			Los Angeles	CA	90066	3512	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:30	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13497	1931278	062271013497	Abram Friedman Occupational	1646 S. Olive St.			Los Angeles	CA	90015	3507	2137652400	1646 S. Olive St.			Los Angeles	CA	90015	3507	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:11	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13515	1933290	062271013515	George Kiriyama Community Adult	18120 S. Normandie Ave.			Gardena	CA	90248	3316	3103544900	18120 S. Normandie Ave.			Gardena	CA	90248	3316	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:23	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13530	1932508	062271013530	Metropolitan Skill Center	2801 W. Sixth St.			Los Angeles	CA	90057	3113	2133867269	2801 W. Sixth St.			Los Angeles	CA	90057	3113	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:19	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13535	1939453	062271013535	Westchester-Emerson Community Adult	8810 Emerson Ave.			Los Angeles	CA	90045	2322	3102582000	8810 Emerson Ave.			Los Angeles	CA	90045	2322	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:31	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13559	1934355	062271013559	Jefferson Community Adult	1319 E. 41st St.			Los Angeles	CA	90011	3301	3232358120	1319 E. 41st St.			Los Angeles	CA	90011	3301	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:24	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13574	1932904	062271013574	Westside Community Adult	7850 Melrose Ave.			Los Angeles	CA	90046	7210	3233701040	7850 Melrose Ave.			Los Angeles	CA	90046	7210	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:21	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13577	1935493	062271013577	Manual Arts Community Adult	4131 S. Vermont Ave.			Los Angeles	CA	90037	1918	3238463000	4131 S. Vermont Ave.			Los Angeles	CA	90037	1918	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:26	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	06	CA	CALIFORNIA	California Department of Education	0622710	1964733	Los Angeles Unified	13605	1931591	062271013605	Wilson-Lincoln Community Adult	4500 Multnomah St.			Los Angeles	CA	90032	3703	3232761700	4500 Multnomah St.			Los Angeles	CA	90032	3703	000	N	Reportable Program	5	No	AE	AE	4	No	2	Open	1	Open	1	14JAN2015:11:46:15	No	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
